Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2029439412,00000102,false,Rx,1,8,02,9A,01,00,00,C8,01,00,
2029449378,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2029491152,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2029491379,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2029491625,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2029491951,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2029519490,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2029529445,00000101,false,Rx,1,8,00,00,00,00,00,F0,00,00,
2029539452,00000102,false,Rx,1,8,02,9A,01,00,00,C8,01,00,
2029549471,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2029591064,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2029591305,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2029591559,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2029591809,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2029619548,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2029629542,00000101,false,Rx,1,8,00,00,00,00,00,F0,00,00,
2029639590,00000102,false,Rx,1,8,02,9A,01,00,00,C8,01,00,
2029649571,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2029691115,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2029691346,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2029691602,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2029691848,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2029719703,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2029729651,00000101,false,Rx,1,8,00,00,00,00,00,F0,00,00,
2029739654,00000102,false,Rx,1,8,02,9A,01,00,00,C8,01,00,
2029749681,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2029791052,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2029791280,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2029791539,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2029791785,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2029819754,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2029829748,00000101,false,Rx,1,8,00,00,00,00,00,F0,00,00,
2029839806,00000102,false,Rx,1,8,02,9A,01,00,00,C8,01,00,
2029849907,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2029891038,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2029891278,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2029891520,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2029891765,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2029919904,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2029929850,00000101,false,Rx,1,8,00,00,00,00,00,F0,00,00,
2029939852,00000102,false,Rx,1,8,02,9A,01,00,00,C8,01,00,
2029949880,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2029991022,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2029991263,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2029991512,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2029991756,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2030020020,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2030030016,00000101,false,Rx,1,8,00,00,00,00,00,F0,00,00,
2030040011,00000102,false,Rx,1,8,02,9A,01,00,00,C8,01,00,
2030050021,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2030091121,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2030091364,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2030091613,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2030091849,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2030120091,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2030130042,00000101,false,Rx,1,8,00,00,00,00,00,F0,00,00,
2030140060,00000102,false,Rx,1,8,02,9A,01,00,00,C8,01,00,
2030150069,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2030191162,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2030191402,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2030191655,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2030191891,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
